xpos,ypos,yaw
0.511661,-0.305286,-2.1975
0.508658,-0.309221,-2.22264
0.505599,-0.31302,-2.24869
0.502485,-0.316681,-2.27568
0.499315,-0.320203,-2.30363
0.49609,-0.323584,-2.33255
0.492811,-0.326823,-2.36245
0.489477,-0.329917,-2.39333
0.48609,-0.332867,-2.42519
0.482649,-0.33567,-2.458
0.479155,-0.338325,-2.49175
0.475608,-0.340832,-2.5264
0.472009,-0.343188,-2.5619
0.468358,-0.345393,-2.5982
0.464656,-0.347447,-2.63524
0.460902,-0.349347,-2.67292
0.457098,-0.351094,-2.71117
0.453243,-0.352686,-2.74989
0.449339,-0.354123,-2.78895
0.445385,-0.355404,-2.82826
0.441382,-0.356529,-2.86769
0.437331,-0.357496,-2.90712
0.433231,-0.358307,-2.94642
0.429084,-0.358959,-2.98548
0.424889,-0.359454,-3.02418
0.420648,-0.359791,-3.0624
0.41636,-0.359969,-3.10005
0.412027,-0.359989,-3.13702
0.407648,-0.35985,3.10994
0.403225,-0.359553,3.07455
0.398757,-0.359098,3.04005
0.394245,-0.358485,3.00649
0.38969,-0.357714,2.97391
0.385092,-0.356785,2.94234
0.380452,-0.3557,2.9118
0.37577,-0.354458,2.8823
0.371046,-0.35306,2.85384
0.366282,-0.351506,2.82642
0.361477,-0.349798,2.80002
0.356632,-0.347936,2.77464
0.351749,-0.345921,2.75024
0.346826,-0.343753,2.72682
0.341866,-0.341435,2.70434
0.336867,-0.338966,2.68278
0.331832,-0.336348,2.6621
0.32676,-0.333581,2.64228
0.321653,-0.330668,2.62329
0.316509,-0.32761,2.60509
0.311332,-0.324407,2.58766
0.306119,-0.321062,2.57097
0.300873,-0.317575,2.55498
0.295594,-0.313949,2.53966
0.290283,-0.310184,2.525
0.28494,-0.306283,2.51096
0.279565,-0.302247,2.49751
0.274159,-0.298078,2.48463
0.268723,-0.293777,2.4723
0.263258,-0.289348,2.4605
0.257764,-0.284791,2.44919
0.252241,-0.280109,2.43837
0.246691,-0.275303,2.428
0.241113,-0.270377,2.41808
0.235509,-0.265331,2.40858
0.229879,-0.260169,2.39949
0.224224,-0.254892,2.39079
0.218544,-0.249503,2.38247
0.21284,-0.244004,2.3745
0.207113,-0.238398,2.36688
0.201363,-0.232687,2.3596
0.19559,-0.226873,2.35264
0.189796,-0.22096,2.34598
0.183982,-0.214949,2.33963
0.178147,-0.208844,2.33356
0.172292,-0.202647,2.32778
0.166419,-0.19636,2.32226
0.160527,-0.189987,2.317
0.154617,-0.183531,2.312
0.148691,-0.176994,2.30724
0.142748,-0.170379,2.30272
0.136789,-0.163689,2.29843
0.130816,-0.156927,2.29437
0.124828,-0.150096,2.29052
0.118826,-0.143198,2.28689
0.112811,-0.136238,2.28346
0.106784,-0.129218,2.28024
0.100745,-0.122141,2.27722
0.0946947,-0.11501,2.27439
0.0886342,-0.107829,2.27175
0.0825639,-0.1006,2.26929
0.0764846,-0.0933268,2.26703
0.0703968,-0.0860126,2.26494
0.0643013,-0.0786605,2.26302
0.0581987,-0.0712739,2.26129
0.0520898,-0.0638558,2.25972
0.045975,-0.0564096,2.25833
0.0398553,-0.0489387,2.2571
0.0337311,-0.0414461,2.25604
0.0276032,-0.0339354,2.25514
0.0214723,-0.0264097,2.25441
0.0153391,-0.0188724,2.25385
0.00920412,-0.0113267,2.25344
0.00306815,-0.00377614,2.2532
-0.00306815,0.00377614,2.25312
-0.00920412,0.0113267,2.2532
-0.0153391,0.0188724,2.25344
-0.0214723,0.0264097,2.25385
-0.0276032,0.0339354,2.25441
-0.0337311,0.0414461,2.25514
-0.0398553,0.0489387,2.25604
-0.045975,0.0564096,2.2571
-0.0520898,0.0638558,2.25833
-0.0581987,0.0712739,2.25972
-0.0643013,0.0786605,2.26129
-0.0703968,0.0860126,2.26302
-0.0764846,0.0933268,2.26494
-0.0825639,0.1006,2.26703
-0.0886342,0.107829,2.26929
-0.0946947,0.11501,2.27175
-0.100745,0.122141,2.27439
-0.106784,0.129218,2.27722
-0.112811,0.136238,2.28024
-0.118826,0.143198,2.28346
-0.124828,0.150096,2.28689
-0.130816,0.156927,2.29052
-0.136789,0.163689,2.29437
-0.142748,0.170379,2.29843
-0.148691,0.176994,2.30272
-0.154617,0.183531,2.30724
-0.160527,0.189987,2.312
-0.166419,0.19636,2.317
